Nombre,U.A.,Valores,Tratamiento
C6-WT,18.5285,1,Control
C6-DMSO,17.4663,0.9426721,DMSO
C6-8-HQ 6h,21.8511,1.179323745,6h
C6-8-HQ 12h,20.882,1.127020536,12h
C6-8-HQ 24h,8.1757,0.441249966,24h
C6-WT,20.3282,1,Control
C6-DMSO,21.4663,1.055986265,DMSO
C6-8-HQ 6h,14.8366,0.72985311,6h
C6-8-HQ 12h,30.527,1.501706988,12h
C6-8-HQ 24h,9.1659,0.4508958,24h
C6-WT,22.3126,1,Control
C6-DMSO,17.6978,0.793175157,DMSO
C6-8-HQ 6h,25.1277,1.126166381,6h
C6-8-HQ 12h,22.5895,1.012410028,12h
C6-8-HQ 24h,11.7984,0.528777462,24h
